Unnamed: 0,ApplicationName,CPU_USAGE,cutime,lru,num_threads,otherPrivateDirty,priority,utime,vsize,cminflt,guest_time,Mem,queue
83528,WhatsApp,0.17,3.0,0,61,20500,20,4670.0,2042925056,NULL,231.68682064150468,2042925056,100.0
87373,Facebook,0.08,0.0,0,88,4760,20,2224.0,2235826176,NULL,108.31794004287231,2235826176,100.0
97640,WhatsApp,0.44,0.0,0,60,15956,20,4795.0,2108719104,NULL,236.86741271504482,2108719104,100.0
102683,Facebook,0.1,0.0,0,116,19588,20,4958.0,2328375296,NULL,242.5649362726299,2328375296,100.0
104408,Facebook,0.1,0.0,0,116,17848,20,5038.0,2328649728,NULL,249.73615868140598,2328649728,100.0
104614,Facebook,0.01,0.0,0,11,224,20,26.0,2096664576,NULL,-2.2823443191192943,2096664576,100.0
107686,Facebook,0.0,0.0,0,11,36,20,26.0,2096664576,NULL,-4.436542509513389,2096664576,100.0
108402,WhatsApp,0.31,0.0,0,64,21584,20,7842.0,2113294336,NULL,386.210772666726,2113294336,100.0
111209,Facebook,0.09,0.0,0,116,15208,20,5183.0,2329714688,NULL,256.2811956257521,2329714688,100.0
115897,Facebook,0.0,0.0,0,11,32,20,27.0,2096664576,NULL,-1.5430882725769557,2096664576,100.0
116664,WhatsApp,0.25,0.0,0,65,20816,20,8650.0,2112442368,NULL,427.53138635903946,2112442368,100.0
122086,Facebook,0.0,0.0,0,11,160,20,27.0,2096664576,NULL,-2.759951596004297,2096664576,100.0
124681,Facebook,0.0,0.0,0,11,160,20,27.0,2096664576,NULL,-0.390498836447029,2096664576,100.0
124759,Facebook,0.0,0.0,0,11,160,20,27.0,2096664576,NULL,-2.0764454369949767,2096664576,100.0
132176,WhatsApp,0.2,0.0,0,66,23320,20,9763.0,2121043968,NULL,482.2671711494184,2121043968,100.0
134310,WhatsApp,0.2,0.0,0,67,22088,20,10173.0,2126057472,NULL,504.0055803026432,2126057472,100.0
134440,Facebook,0.07,0.0,0,14,668,20,2203.0,2109386752,NULL,108.11438913766388,2109386752,100.0
135825,WhatsApp,0.2,0.0,0,65,20740,20,10306.0,2124886016,NULL,512.3007853527977,2124886016,100.0
138546,WhatsApp,0.19,0.0,0,65,28652,20,10583.0,2127372288,NULL,526.8617158327181,2127372288,100.0
140979,WhatsApp,0.19,0.0,0,65,23964,20,10944.0,2125025280,NULL,542.1659370075438,2125025280,100.0
140981,Facebook,0.34,0.0,0,187,48672,20,34199.0,2630475776,NULL,1706.4902934091233,2630475776,100.0
143039,Facebook,0.34,0.0,0,190,45864,20,34465.0,2633560064,NULL,1721.4943504537994,2633560064,100.0
144350,Facebook,0.33,0.0,0,187,25384,20,34615.0,2630823936,NULL,1725.9013635623044,2630823936,100.0
151246,Facebook,0.08,0.0,0,98,3432,14,738.0,2248261632,NULL,34.11825560643046,2248261632,121.42857142857143
156459,WhatsApp,0.19,2.0,0,50,2212,20,3998.0,1990762496,NULL,196.93681461950843,1990762496,100.0
156635,WhatsApp,0.19,2.0,0,50,2224,20,4008.0,1990762496,NULL,196.32985721969126,1990762496,100.0
158883,WhatsApp,0.17,2.0,0,55,15384,20,4273.0,2010320896,NULL,212.35706492723807,2010320896,100.0
161835,WhatsApp,0.16,2.0,0,56,15368,20,4777.0,2024157184,NULL,235.16724601375628,2024157184,100.0
171418,Facebook,0.0,0.0,0,11,256,20,35.0,2095517696,NULL,-1.1066425348448448,2095517696,100.0
173189,Facebook,0.29,0.0,0,144,48052,20,12615.0,2410684416,NULL,626.0266868758441,2410684416,100.0
184837,WhatsApp,0.13,1.0,0,48,13556,20,497.0,1987076096,515.0,21.272176976066127,1987076096,100.0
187641,WhatsApp,0.12,1.0,0,56,43068,20,920.0,2063036416,515.0,43.194686514474924,2063036416,100.0
193310,WhatsApp,0.46,2.0,0,51,15192,20,2150.0,1996378112,503.0,101.50175898469375,1996378112,100.0
199818,Facebook,0.16,0.0,0,105,7108,16,2012.0,2272751616,0.0,98.52690695957963,2272751616,112.5
203477,WhatsApp,0.39,2.0,0,56,20704,20,2944.0,2086060032,520.0,142.43532050131657,2086060032,100.0
205974,Facebook,0.14,0.0,0,106,8996,16,2827.0,2276732928,0.0,137.3547467924115,2276732928,112.5
208821,Facebook,0.26,0.0,0,86,8252,20,946.0,2217988096,0.0,44.90232671928528,2217988096,100.0
216914,WhatsApp,0.33,2.0,0,58,26840,20,4150.0,2090881024,517.0,206.2303080129463,2090881024,100.0
219951,Facebook,0.06,0.0,0,81,5748,20,841.0,2211057664,0.0,36.13281288054035,2211057664,100.0
237053,Facebook,0.18,0.0,0,133,38428,20,2484.0,2355662848,0.0,120.58590432367872,2355662848,100.0
245592,WhatsApp,0.28,0.0,0,58,31992,20,2965.0,2071498752,513.0,145.58108531487352,2071498752,100.0
250763,Facebook,0.14,0.0,0,133,13504,20,3546.0,2352353280,0.0,173.1093389137603,2352353280,100.0
254942,Facebook,0.14,0.0,0,133,13824,20,4072.0,2350436352,0.0,199.4130986074166,2350436352,100.0
259867,Facebook,0.0,0.0,0,12,32,20,28.0,2095906816,0.0,-3.5245909353553637,2095906816,100.0
263521,Facebook,0.0,0.0,0,12,36,20,28.0,2095906816,0.0,-2.0459628164380033,2095906816,100.0
265470,WhatsApp,0.22,0.0,0,63,66348,20,7267.0,2109300736,1038.0,357.3548031304805,2109300736,100.0
266837,Facebook,0.12,0.0,0,133,18656,20,4454.0,2350354432,0.0,221.2624463840241,2350354432,100.0
269258,Facebook,0.11,0.0,0,133,25888,20,4605.0,2349391872,0.0,225.4942846200349,2349391872,100.0
271038,WhatsApp,0.19,0.0,0,63,49948,20,7420.0,2109382656,1038.0,368.45535436412763,2109382656,100.0
278061,WhatsApp,0.16,0.0,0,62,57976,20,7661.0,2104774656,1038.0,379.11848258984213,2104774656,100.0
282516,WhatsApp,0.15,0.0,0,62,43328,20,7758.0,2104958976,1038.0,384.72637019730064,2104958976,100.0
283724,Facebook,0.11,0.0,0,133,19828,20,6040.0,2349547520,0.0,299.30578111723185,2349547520,100.0
283992,WhatsApp,0.15,0.0,0,62,43188,20,7784.0,2104958976,1038.0,385.35292522299403,2104958976,100.0
284370,WhatsApp,0.15,0.0,0,62,43352,20,7804.0,2104999936,1038.0,387.62757808097666,2104999936,100.0
290836,Facebook,0.0,0.0,0,12,40,20,31.0,2095906816,0.0,-1.7704358983394135,2095906816,100.0
291764,Facebook,0.11,0.0,0,133,31236,20,6508.0,2349260800,0.0,319.8566205547358,2349260800,100.0
292241,Facebook,0.11,0.0,0,133,31236,20,6518.0,2349342720,0.0,323.10127777347265,2349342720,100.0
293030,Facebook,0.11,0.0,0,133,31292,20,6537.0,2349424640,0.0,324.2964281113713,2349424640,100.0
294446,Facebook,0.11,0.0,0,133,30656,20,6613.0,2349789184,0.0,328.8900986167546,2349789184,100.0
295196,Facebook,0.11,0.0,0,133,28052,20,6632.0,2349871104,0.0,325.6103494342544,2349871104,100.0
295660,Facebook,0.0,0.0,0,12,280,20,31.0,2095906816,0.0,-3.9030037662262647,2095906816,100.0
298278,WhatsApp,0.12,0.0,0,62,43036,20,8071.0,2105204736,1038.0,398.80292860042084,2105204736,100.0
302377,Facebook,0.0,0.0,0,12,272,20,32.0,2095906816,0.0,-1.9615918028976849,2095906816,100.0
302911,Facebook,0.0,0.0,0,12,272,20,32.0,2095906816,0.0,-0.027201515216522587,2095906816,100.0
306846,WhatsApp,0.12,0.0,0,60,15644,20,8541.0,2072793088,1038.0,424.64009169101786,2072793088,100.0
309165,WhatsApp,0.11,0.0,0,60,13408,20,8594.0,2072829952,1038.0,428.47475728899656,2072829952,100.0
320181,WhatsApp,0.13,1.0,0,61,25892,20,11976.0,2073841664,1550.0,594.2736792727335,2073841664,100.0
320740,Facebook,0.0,0.0,0,12,224,20,33.0,2095906816,0.0,-0.9671271530281488,2095906816,100.0
324401,Facebook,0.0,0.0,0,12,532,20,34.0,2095906816,0.0,-1.230355385576973,2095906816,100.0
328569,Facebook,0.0,0.0,0,12,120,20,35.0,2095808512,0.0,0.13722245369627206,2095808512,100.0
334232,WhatsApp,0.15,1.0,0,64,41732,20,16158.0,2104512512,1550.0,804.0882708587478,2104512512,100.0
335115,Facebook,0.0,0.0,0,12,256,20,36.0,2095808512,0.0,0.7373689575822002,2095808512,100.0
337658,WhatsApp,0.15,1.0,0,64,25892,20,17184.0,2104786944,1550.0,857.5185085139531,2104786944,100.0
340143,Facebook,0.0,0.0,0,12,560,20,38.0,2095808512,0.0,-1.8715640316431608,2095808512,100.0
341314,Facebook,0.07,0.0,0,11,220,20,41.0,2093793280,0.0,-0.36239344027275777,2093793280,100.0
349902,Facebook,0.06,0.0,0,11,296,20,43.0,2093793280,0.0,-3.1991434761404363,2093793280,100.0
356366,WhatsApp,0.16,0.0,0,49,2072,20,891.0,2007322624,515.0,41.94731766638387,2007322624,100.0
369693,WhatsApp,0.17,1.0,0,61,56256,20,3688.0,2068643840,1035.0,183.35945704822709,2068643840,100.0
370838,Facebook,0.19,0.0,0,88,4140,20,589.0,2221854720,0.0,26.878062375089932,2221854720,100.0
381217,Facebook,0.21,0.0,0,73,5108,20,570.0,2190397440,0.0,22.98557563655568,2190397440,100.0
384689,Facebook,0.16,0.0,0,73,2856,20,493.0,2192912384,0.0,21.12135955895207,2192912384,100.0
386844,Facebook,2.78,0.0,0,79,31292,20,793.0,2202218496,0.0,35.51886049624946,2202218496,100.0
393251,Facebook,0.03,0.0,0,11,13040,20,26.0,2093793280,0.0,-2.3099104913658026,2093793280,100.0
394692,WhatsApp,0.61,0.0,0,65,73636,20,3112.0,2107408384,501.0,152.83691902501792,2107408384,100.0
395526,WhatsApp,0.55,0.0,0,63,34012,20,3274.0,2068492288,501.0,159.09761997778432,2068492288,100.0
401144,WhatsApp,0.36,0.0,0,62,41980,20,4267.0,2081796096,501.0,210.49525034549234,2081796096,100.0
401644,Facebook,0.07,0.0,0,72,3780,20,507.0,2194006016,0.0,19.44876120908314,2194006016,100.0
404017,Facebook,0.06,0.0,0,72,3656,20,529.0,2194661376,0.0,25.118750136304673,2194661376,100.0
416810,WhatsApp,0.29,0.0,0,62,33608,20,8743.0,2079055872,501.0,432.604183513288,2079055872,100.0
429963,Facebook,0.31,0.0,0,150,27500,20,5722.0,2387988480,0.0,282.99810340949216,2387988480,100.0
433972,Facebook,0.02,0.0,0,15,340,20,519.0,2110001152,0.0,21.379375360783687,2110001152,100.0
434750,WhatsApp,0.38,0.0,0,60,29484,20,3498.0,2070544384,500.0,171.82973518263458,2070544384,100.0
434853,Facebook,0.28,0.0,0,150,25248,20,6325.0,2388152320,0.0,313.34711414115634,2388152320,100.0
435237,Facebook,0.27,0.0,0,150,27128,20,6401.0,2387599360,0.0,316.32518519177347,2387599360,100.0
436735,Facebook,0.02,0.0,0,15,336,20,607.0,2110001152,0.0,25.66208179518478,2110001152,100.0
448715,Facebook,0.18,0.0,0,79,4088,20,514.0,2204971008,0.0,21.1132687912382,2204971008,100.0
454468,WhatsApp,0.27,0.0,0,64,20968,20,3879.0,2096107520,513.0,188.02159621395506,2096107520,100.0
454666,WhatsApp,0.26,0.0,0,64,21032,20,3893.0,2096107520,513.0,190.895461605344,2096107520,100.0
456100,WhatsApp,0.36,0.0,0,66,29772,20,6154.0,2099396608,513.0,306.2935300040588,2099396608,100.0
456417,Facebook,0.08,0.0,0,84,9216,20,1049.0,2213572608,0.0,49.89308354690354,2213572608,100.0
456843,Facebook,0.08,0.0,0,84,9300,20,1055.0,2213654528,0.0,48.60806103477528,2213654528,100.0
463290,WhatsApp,0.24,0.0,0,66,27728,20,6952.0,2101493760,513.0,346.48222115930184,2101493760,100.0
470631,Facebook,0.05,0.0,0,78,3140,20,782.0,2206109696,0.0,36.319622556156304,2206109696,100.0
477044,WhatsApp,0.32,0.0,0,83,96792,20,16185.0,2224119808,513.0,805.3425447828437,2224119808,100.0
482304,WhatsApp,0.45,0.0,0,93,100988,20,26698.0,2299740160,513.0,1333.3596359790345,2299740160,100.0
485699,Facebook,0.19,0.0,0,157,55352,20,7583.0,2524213248,0.0,374.8455816380914,2524213248,100.0
488984,Facebook,0.18,0.0,0,157,56560,20,7712.0,2524786688,0.0,380.18204068935785,2524786688,100.0
499444,WhatsApp,0.29,1.0,0,63,15336,20,5155.0,2058706944,1036.0,253.99857131168412,2058706944,100.0
502307,Facebook,0.16,0.0,0,160,55520,20,8593.0,2528825344,0.0,427.6803392113951,2528825344,100.0
504887,Facebook,0.16,0.0,0,160,54588,20,8780.0,2528043008,0.0,434.635280309946,2528043008,100.0
507025,WhatsApp,0.37,1.0,0,69,65500,20,9518.0,2133778432,1036.0,474.2989873671637,2133778432,100.0
514203,Facebook,0.0,0.0,0,12,36,20,28.0,2096955392,0.0,-1.211084195088989,2096955392,100.0
530717,WhatsApp,0.32,0.0,0,58,11868,20,1304.0,2058174464,501.0,63.229189858163785,2058174464,100.0
531806,WhatsApp,0.27,0.0,0,58,22816,20,1388.0,2067877888,501.0,68.2403408959914,2067877888,100.0
532623,Facebook,0.09,0.0,0,76,3824,20,444.0,2202755072,0.0,16.369159123896047,2202755072,100.0
534830,WhatsApp,0.53,3.0,0,47,6216,20,2148.0,1984712704,1024.0,103.89116931357952,1984712704,100.0
535110,WhatsApp,0.47,3.0,0,46,6260,20,2170.0,1983623168,1024.0,105.6502417991459,1983623168,100.0
535997,Facebook,0.17,0.0,0,81,5708,20,887.0,2219180032,0.0,40.73793000507729,2219180032,100.0
539743,Facebook,0.15,0.0,0,79,7272,20,669.0,2205106176,0.0,31.597308489031118,2205106176,100.0
562362,Facebook,0.1,0.0,0,105,6284,20,2492.0,2260615168,0.0,123.57097855429012,2260615168,100.0
576293,WhatsApp,0.17,3.0,0,62,58064,20,5981.0,2103267328,1044.0,296.87099104958884,2103267328,100.0
579503,WhatsApp,0.15,3.0,0,62,48452,20,6106.0,2103410688,1044.0,303.4868937748592,2103410688,100.0
588416,WhatsApp,0.12,3.0,0,59,10044,20,6440.0,2062082048,1044.0,318.46155466052096,2062082048,100.0
594871,Facebook,0.07,0.0,0,97,5820,20,1174.0,2236743680,0.0,57.564728637504174,2236743680,100.0
596435,WhatsApp,0.87,4.0,0,49,3136,20,336.0,1986613248,517.0,14.498786645589517,1986613248,100.0
599592,WhatsApp,0.45,4.0,0,57,17624,20,1715.0,2065424384,517.0,81.22000052961789,2065424384,100.0
608887,Facebook,0.58,0.0,0,152,114972,20,8606.0,2490462208,0.0,426.04094585042884,2490462208,100.0
609358,Facebook,0.56,0.0,0,152,114572,20,8613.0,2490544128,0.0,427.3846735812122,2490544128,100.0
615569,Facebook,0.0,0.0,0,11,32,20,34.0,2096988160,0.0,-4.1566705000988105,2096988160,100.0
624096,Facebook,0.0,0.0,0,11,188,20,38.0,2096988160,0.0,-1.6034063146455482,2096988160,100.0
624858,Facebook,0.0,0.0,0,11,220,20,38.0,2096988160,0.0,-1.903333600944684,2096988160,100.0
626522,Facebook,0.38,0.0,0,156,86704,20,12715.0,2514665472,0.0,632.9285043180568,2514665472,100.0
627135,Facebook,0.0,0.0,0,11,504,20,39.0,2096988160,0.0,-1.2145036506599438,2096988160,100.0
633126,Facebook,0.0,0.0,0,13,300,20,39.0,2100166656,0.0,-3.5162104204782585,2100166656,100.0
649043,Facebook,0.11,0.0,0,105,3216,16,1230.0,2257543168,0.0,57.870403594564046,2257543168,112.5
654695,Facebook,0.09,0.0,0,107,3592,16,1407.0,2260385792,0.0,68.44776542456657,2260385792,112.5
654767,Facebook,0.09,0.0,0,107,3532,16,1410.0,2260385792,0.0,67.54971849953944,2260385792,112.5
656123,Facebook,0.09,0.0,0,107,2472,16,1431.0,2260549632,0.0,70.39332281396597,2260549632,112.5
659004,Facebook,0.0,0.0,0,11,216,20,33.0,2096988160,0.0,0.12164472019206495,2096988160,100.0
666776,Facebook,0.12,0.0,0,82,2152,20,480.0,2211090432,0.0,19.58928299866463,2211090432,100.0
668794,Facebook,0.0,0.0,0,11,316,20,36.0,2096988160,0.0,-3.544896050527641,2096988160,100.0
669045,WhatsApp,0.22,2.0,0,61,9772,20,6275.0,2056744960,1033.0,309.20174866134016,2056744960,100.0
669470,Facebook,0.13,0.0,0,93,13872,20,803.0,2229690368,0.0,37.58164855775561,2229690368,100.0
670309,Facebook,0.0,0.0,0,11,468,20,37.0,2096988160,0.0,0.5422453612557607,2096988160,100.0
672281,WhatsApp,0.21,2.0,0,61,24036,20,6641.0,2066612224,1033.0,329.06325860669386,2066612224,100.0
677407,WhatsApp,0.26,2.0,0,53,21700,20,934.0,2043269120,501.0,43.54732047979126,2043269120,100.0
680123,Facebook,0.15,0.0,0,96,5048,20,1375.0,2241187840,0.0,63.9037657236595,2241187840,100.0
680738,Facebook,0.15,0.0,0,96,2660,20,1405.0,2241617920,0.0,64.33784214352335,2241617920,100.0
683429,Facebook,0.14,0.0,0,96,6492,20,1617.0,2240778240,0.0,78.54568985519914,2240778240,100.0
685670,Facebook,0.15,0.0,0,102,4572,20,2144.0,2254233600,0.0,104.8969188135735,2254233600,100.0
686738,Facebook,0.15,0.0,0,102,7564,20,2209.0,2252394496,0.0,104.57909160541985,2252394496,100.0
693896,WhatsApp,0.29,2.0,0,59,22056,20,6936.0,2097836032,501.0,345.3879181867203,2097836032,100.0
694430,WhatsApp,0.28,2.0,0,58,21956,20,6947.0,2096746496,501.0,343.1059189340458,2096746496,100.0
697342,Facebook,0.0,0.0,0,12,224,20,41.0,2098053120,0.0,-0.5114940940433965,2098053120,100.0
697814,WhatsApp,0.27,2.0,0,58,20256,20,7508.0,2096033792,501.0,370.618493466903,2096033792,100.0
698566,Facebook,0.0,0.0,0,12,112,20,41.0,2098053120,0.0,-0.08687751983135518,2098053120,100.0
704905,Facebook,0.0,0.0,0,12,112,20,42.0,2098053120,0.0,-3.279085432664965,2098053120,100.0
711046,Facebook,0.0,0.0,0,12,36,20,43.0,2098053120,0.0,-3.8338295646672322,2098053120,100.0
714164,WhatsApp,0.24,0.0,0,56,11392,20,4605.0,2038497280,1038.0,227.6901896828493,2038497280,100.0
714923,WhatsApp,0.23,0.0,0,56,11420,20,4629.0,2038517760,1038.0,228.72854389978428,2038517760,100.0
722700,Facebook,0.0,0.0,0,12,224,20,45.0,2098053120,0.0,-1.9565862985495583,2098053120,100.0
730212,Facebook,0.18,0.0,0,73,7936,20,485.0,2194857984,0.0,19.694263077664925,2194857984,100.0
732337,WhatsApp,0.11,0.0,0,51,13548,20,634.0,1998467072,533.0,29.10142938897314,1998467072,100.0
732697,WhatsApp,0.12,0.0,0,50,20204,20,796.0,2005131264,533.0,34.46320601799121,2005131264,100.0
735496,WhatsApp,0.49,3.0,0,53,7964,20,690.0,1997946880,502.0,29.623743311382302,1997946880,100.0
736488,WhatsApp,0.58,3.0,0,61,36140,20,2001.0,2100404224,502.0,98.57638321145504,2100404224,100.0
737215,Facebook,0.15,0.0,0,101,16968,20,2129.0,2254704640,0.0,101.10725432608038,2254704640,100.0
737234,WhatsApp,0.46,3.0,0,61,38132,20,2126.0,2107846656,502.0,100.86852555162464,2107846656,100.0
737579,Facebook,0.16,0.0,0,101,4500,20,2253.0,2256306176,0.0,109.99239624091851,2256306176,100.0
739006,WhatsApp,0.33,3.0,0,60,40996,20,2419.0,2106773504,502.0,115.23840357727337,2106773504,100.0
739942,WhatsApp,0.29,3.0,0,59,38720,20,2568.0,2110275584,502.0,126.63938033793652,2110275584,100.0
751140,Facebook,0.92,0.0,0,18,552,20,684.0,2123202560,0.0,30.81415116622404,2123202560,100.0
752526,Facebook,0.39,0.0,0,18,1072,20,847.0,2123202560,0.0,41.327985651046724,2123202560,100.0
762346,Facebook,0.6,0.0,0,178,74428,20,7944.0,2482688000,0.0,391.98729268357175,2482688000,100.0
765532,Facebook,0.52,0.0,0,178,71576,20,8552.0,2482524160,0.0,424.6345462173545,2482524160,100.0
767094,Facebook,0.16,0.0,0,18,3044,20,2917.0,2123321344,0.0,141.8726363973795,2123321344,100.0
771734,WhatsApp,0.27,1.0,0,65,75212,20,5990.0,2140114944,501.0,296.04311516181724,2140114944,100.0
776470,Facebook,0.4,0.0,0,178,75104,20,11020.0,2483150848,0.0,545.9263047811361,2483150848,100.0
776474,WhatsApp,0.26,1.0,0,57,15840,20,6938.0,2094870528,501.0,344.944906000262,2094870528,100.0
779599,Facebook,0.39,0.0,0,178,78648,20,11714.0,2482655232,0.0,584.1400362584913,2482655232,100.0
784035,Facebook,0.15,0.0,0,18,2916,20,5450.0,2123321344,0.0,267.73292593780013,2123321344,100.0
786781,WhatsApp,0.24,3.0,15,48,3300,20,1877.0,1993637888,1021.0,89.04168140189682,1993637888,100.0
